Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/1/51;1517 6 8bre;;4;27,2 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/52/1;1517 29 xbre;;1;27,8 x 20,3;Avant avec cordelette, fort brunissement;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/52/2;1518 26 Juin;;2;27,6 x 19,8;D‚chirures, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/53;1517;;6;25,4 x 18,5;cordelette ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/54;1518/19 22 mars;;2;27,5 x 20;trace ancienne d'infestation, aur‚oles, brunissement;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/55;1518 8 mai;;6;27 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/56;1518 8 mai;;6;25,9 x 18,5 ;fort encrassement (traces noires);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/57;1518.18.9bre;;4;28 x 19,8 ;d‚chirure au centre;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/58;28 fev 1519/20;;12;29,9 x 20,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/59;1519 31.8bre;;8;28,6 x 19,8;cordelette en bas;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/60;1519 10 xbre;;1;30 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/1/61;vers 1519;;21;28,9 x 20,8;cordelette;;;;;;;;;;;;;;;;;;
;"4300/2
(1520 … 1523
1524 … 1530)";1520 … 1524;;;47;Ms 4300/2/1;1520 30 juin;;1;22,5 x 18,7;aur‚oles et traces de moisissures noires;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/2;1520 2 ao–t;;2;24,5 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/3;28 xbre 1520;;6;24,3 x 18,5 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/4;1520 28 xbre;;4;24,1 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/5;1520/vers/;;1;14 x 17,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/6;24 avril 1521;;2;27,1 x 19,8;aur‚oles, moisissures violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/7;1521 14 juin;;4;26,6 x 20;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/8;1521 20 ao–t;;1;26,7 x 15,7;aspect cotonneux, moisissures roses;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/9;20 quitance;;2;28,2 x 19,8;aur‚oles ;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/10;page vierge;;1;28 x 19,2;aur‚oles, moisissures violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/11;page une phrase;;1;28,5 x 21;filigrane licorne … haut de chŠvre, aur‚oles, moisissures violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/12;1521 28 xbre;;3;25,3 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/13;1521 … 1595;;10;30,2 x 21,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/14;1521;;2;27,7 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/15;1521/22 19 fevr;;4;28 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/16;1521/22 14 mars;;2;25 x 18,3;aur‚oles, d‚p“t brun sur le dernier feuillet;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/17;1522 11 juin;;4;27,2 x 20,3 ;filigrane main tendue;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/18;1522 28 xbre;;2;25,3 x 18,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/19;1522 xbre;;4;25,2 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/20;1523/24 1 janv;;4;26,8 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/2/21;1523 7 janv;;1;19,5 x 20,4;;;;;;;;;;;;;;;;;;;
