Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/26/32/4;1622 20 7bre;;1;26,8 x 19,8;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/5;1622 24 7bre;;2;26,2 x 20,2;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/6;1622 27 7bre;;1;27,2 x 20  ;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/7;1622 27 7bre;;1;26,8 x 19,8;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/8;1622 30 7re;;1;26,3 x 22,4;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/9;1622 28 7bre;;1;27,9 x 20,8;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/10;1622 28 7bre;;2;26,7 x 19,5;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/11;1622 28 7bre;;4;27,4 x 19,8;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/12;1623 10 fevr;;4;27,7 x 23;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/13;1623 17 fev;;1;25,5 x 19,9;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/14;1623 18 mars;;2;26,7 x 20;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/15;1623 10 xbre;;1;17,7 x 20,2;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/16;sans date;;1;28,4 x 21;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/17;sans date;;1;27,1 x 19,5;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/32/18;1624 11 janv;;2;28,5 x 21,2;cordelette rose et blanche (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/33;1622.23 7bre;;2;31,7 x 22,1;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/34;1622 1 7bre;;2;27,2 x 19,7;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/35;1622.20 7bre;;3;24,5 x 17,8;aur‚oles, taches violettes, lacunes, cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/36/1;1622.22.7bre;;2;28,2 x 21;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/36/2;1626 7 7bre;;2;27 x 20   ;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/36/3;1626 16 7bre;;4;25,8 x 19,8;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/37;1622.octobre 6.;;1;27 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/38;1622 11 8bre;;10;25,5 x 17,6 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/39;1622 2 9bre;;2;26,5 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/40;1622 9 9bre;;2;26 x 20;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/41;1622 2 xbre;;1;23 x 18,3;taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/42/1;1622 10 xbre;;1;13,5 x 11,5;Cordelette de parchemin (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/42/2;1623 18 juin;;2;25,6 x 18,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/42/3;1629 2 8bre;;6;26,5 x 20   ;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/42/4;1629 9 8bre;;2;26,5 x 19,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/43/1;1622.14 xbre;;1;17,3 x 22;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/43/2;1624 18 xbre;;1;17,8 x 22,4;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/44;1622 28 xbre;;4;25,5 x 18,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/45;1623 2 janv;;2;25,4 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/46;du 30 Janvier 1623;;2;32,8 x 21,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/47;1623.10 fevr;;28;26,8 x 20,3 x 0,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/48;1623 14 fevr;;2;26,1 x 18,7 ;taches violettes, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/49;1623 21.fevr;;1;26,4 x 19,3;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/50;1623.4 mars;;4;26,9 x 20 ;aur‚oles, lacunes, traces infestation (galeries);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/51;1623 7 avril;;4;26,7 x 19,8 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/52;1623.27 avril;;4;27,2 x 20,1 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/53;1623 6 mai;;2;26 x 20,3;aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/54;1623 20 mai;;6;26,4 x 20 ;lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/55;1623 30 mai;;2;27 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/56;1623 3.juin;;2;26,6 x 19,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/57/1;1623 3 juin;;2;26,8 x 19,8;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/57/2;1623 aout 26;;1;25,6 x 18,2;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/57/3;1624 9 janv;;2;25,7 x 20;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/58;1623 21 juin;;6;26,6 x 19,8 ;aur‚oles, lacunes, d‚chirures, taches brunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/59/1;1623 3 juillet;;14;26 x 20,6 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/59/2;1623 7.7bre;;2;26 x 20,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/60;1623 4 juillet;;2;25,3 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/61;1623 juillet 24;;2;30,7 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/62;1623 juillet 26.;;2;35,8 x 23,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/63;1623 ao–t 1.;;1;31,1 x 21,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/64;1623.2 ao–t;;4;27,5 x 20,4;lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/65/1;1623 7 ao–t;;2;26,5 x 19,5;aur‚oles, lacunes, aspect cotonneux, cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/65/2;1625 14 7bre;;2;25,5 x 20,2;aur‚oles, lacunes, aspect cotonneux, cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/65/3;1627 22 fevr;;2;25,8 x 19,4;aur‚oles, lacunes, aspect cotonneux, cordelette rose en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/66/1;1623 10 ao–t;;2;26,3 x 20  ;cordelette rose (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/66/2;1623 7 8bre;;2;28,6 x 21,2;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/66/3;1624 22 fevr;;1;28,4 x 21,4;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/67/1;1623 10 ao–t;;1;13 x 19;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/67/2;1625;;1;28,2 x 18,1;reli‚ par clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/68;1623.21 ao–t;;2;26,5 x 20;aur‚oles, lacunes importantes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/69;1623.26.ao–t;;2;26,3 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/70;1623 28 ao–t;;2;26,3 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/71;1623.12 7bre;;6;25,5 x 18,8 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/72;1623 20 7bre;;2;30,5 x 21;plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/73;1623 20 7bre;;9;30,7 x 20,6 ;aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/74/1;1623 27 7bre;;2;26 x 20,3;aur‚oles brunes, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/74/2;1623 27 9bre;;8;26,2 x 20,6;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/75;3 novembre 1623;;2;25,8 x 16,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/76;1623.28 9bre;;1;26,5 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/77;1623 29 9bre;;2;26,3 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/78/1;1623 7.xbre;;2;25,8 x 19;aur‚oles, taches brunes, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/78/2;1624 9 mars;;2;25,8 x 19;aur‚oles, taches brunes, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/79;1623 11 xbre;;1;17,7 x 21,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/80/1;1623 13 xbre;;1;15,7 x 21;cordelette rose (avant), parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/80/2;1623 14 xbre;;1;17,3 x 21,3;cordelette rose (avant), parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/80/3;1623 16 xbre;;2;26 x 19,4;cordelette rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/81/1;1623 16 xbre;;2;27,8 x 20,4;cordelette (avant) et cordelette parchemin en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/81/2;1625 29 mars;;1;34,4 x 21,4;cordelette (avant) et cordelette parchemin en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/81/3;1625 2 avril;;1;28,5 x 18,5;cordelette (avant) et cordelette parchemin en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/81/4;1625 14 avril;;1;34,4 x 21,4;cordelette (avant) et cordelette parchemin en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/82;1623 31 xbre;;4;26,7 x 20 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/83;vers 1623;;6;27 x 20,5 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/84/1;vers 1623;;2;25,3 x 18,5;aur‚oles, cordelette rose (avant), anciennes restaurations;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/26/84/2;vers 1623;;13;26,4 x 20,5;aur‚oles, cordelette rose (avant);;;;;;;;;;;;;;;;;;
;"4300/27
1624 et 1625";;;;197;Ms 4300/27/1;1624_16 janvier;;2;26,7 x 19,8;plis, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/2;1624 17 janv;;8;25,5 x 17,5 ;lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/3;1624 19 janv;;2;26,7 x 19,6;lacunes au niveau des deux coins sup‚rieurs;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/4;1624 25 janvier;;5;25,8 x 17,7 ;aur‚oles, lacunes, aspect cotonneux;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/5;1624 1er fevr;;4;26,6 x 19,6 ;plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/1;1624 3 fevr;;2;26,8 x 19,7;cordelette rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/2;1624 23 7bre;;1;28,3 x 23,9;cordelette rose (avant), aur‚oles, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/3;1626 31 aout;;2;26 x 20;cordelette rose (avant), lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/4;1627 17 mai;;1;25 x 21,2;cordelette rose (avant), aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/5;1627 2 juillet;;1;26,7 x 19,8;cordelette rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/6;1629 4 fevr;;2;27,7 x 20,4;cordelette rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/7;1630 22 mars;;2;25,5 x 20,2;cordelette rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/8;1630 23 mars;;1;27,5 x 20,7;cordelette rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/9;1631 28 janv;;1;24,5 x 21;cordelette rose (avant), aur‚oles, lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/6/10;1637 18 mars;;2;25,5 x 18,6;cordelette rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/7;17 fevr 1624;;6;24,8 x 18,4 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/1;1624 17 fevr;;2;26 x 20;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/2;1625 26 mars;;2;26 x 19,5;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/3;1625 20 mai;;8;29,9 x 20,2;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/4;1625 5 9bre;;4;30 x 20,2;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/5;1625 5 9bre;;2;29,7 x 20;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/6;1627 11 fevr;;5;29,8 x 19,8;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/7;1628 17 aout;;2;25,7 x 19,5;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/8;1628 19 aout;;2;26 x 20,2;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/9;1628 9 7bre;;1;28,5 x 20;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/10;1628 fin aout;;2;26 x 20,2;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/11;1629 15 janv;;4;26 x 20,8;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/8/12;1629 16 janv;;9;26,5 x 20;cordelette (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/9;1624_27 fevr;;2;26,2 x 20,1;aur‚oles, taches roses;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/1;1624 6 mars;;1;26,7 x 19,7;aur‚oles, lacunes, cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/2;1624 2 avril;;2;26,7 x 19,7;cordelette en parchemin (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/3;1624 10 avril;;1;26,6 x 19,3;cordelette en parchemin (avant), lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/4;1624 17 avril;;2;26,7 x 19,4;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/5;1624 23 avril;;2;26,5 x19,8;cordelette en parchemin (avant), lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/6;1624 24 avril;;2;26,5 x 19,5;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/7;1624 8 mai;;2;26,7 x 19,8;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/8;1624 14 mai;;2;26,6 x 19,7;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/9;1624 21 mai;;2;26,7 x 19,9;cordelette en parchemin (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/10;1624 27 aout;;4;26,7 x 19,7;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/11;1624 3 7bre;;2;26,8 x 19,4;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/12;1624 10 7bre;;2;26,5 x 19,4;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/10/13;1624 23 7bre;;2;26,7 x 19,6;cordelette en parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/11;1624 8 mars;;1;28,4 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/12;1624 8 mars;;4;25,8 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/13;sans date;;2;26,6 x 19,9;aur‚oles, lacunes, presque pas d'‚criture;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/14;1624 13 mars;;1;30 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/15;1624 13 mars;;2;25,5 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/16;1624 17 mars;;2;24,7 x 18,3;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/17;1624 mars 20;;2;35,3 x 22,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/18;1624 24 mars;;3;26,5 x 19;cordelette;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/19;162(4)? 18 avril;;2;23,9 x 19,6;lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/20;1624 ou 1644 22 avril;;1;26,3 x 18;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/21/1;1625 4 mai;;2;26,9 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/21/2;1625 21 aout;;2;26,9 x 20;aspect cotonneux, lacunes, tƒches violettes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/22/1;1624 8 mai;;8;26,4 x 19,9;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/22/2;1626 29 janv;;2;24,5 x 18;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/23;1624 juin 1.;;2;30,3 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/24;1624 juin 3.;;1;26,4 x 19,4;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/25/1;1624 7.juin;;4;26,1 x 19;cordelette rose (avant), lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/25/2;1624 1er juillet;;2;26,2 x 19,8;cordelette rose (avant), lacunes, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/25/3;1624 9 7bre et 2 8bre;;6;28,2 x 21,1;cordelette rose (avant), aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/26;1624 12 juin;;2;26,5 x 19,7;aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/27;1624.15.juin;;1;16,5 x 20,9;aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/28/1;1624 28 juin;;2;26,5 x 19,5;aur‚oles, cordelette de parchemin en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/28/2;1624 28 aout;;2;25,7 x 18,8;aur‚oles, cordelette de parchemin en bas (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/29;1624 juin;;1;23,6 x 18,4 ;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/30;1624 5 juillet;;2;26,6 x 19,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/1;1624 7 juillet;;6;25,8 x 18;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/2;1640 4 mai;;2;24,1 x 17,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/3;1654 1er aout;;1;15,2 x 18;cordelette (avant), parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/4;1654 11 aout;;2;23,8 x 18,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/5;1655 3 janv;;1;25,1 x 18,1;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/6;1655 5 janv;;2;24,9 x 18,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/7;1655 14 janv;;1;25 x 17,8 ;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/8;1655 29 janv;;1;24 x 18;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/9;1655 30 janv;;1;24,9 x 18,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/10;1655 1er fevr;;1;25,3 x 18,2;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/11;1655 5 fevr;;1;22,3 x 18,5;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/12;1655 5 fevr;;1;25 x 18,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/13;1655 13 fevr;;2;25,3 x 18,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/14;1657 3 fevr;;1;25,8 x 18,7;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/15;1657 5 fevr;;1;25,6 x 18,1;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/16;sans date;;1;25,5 x 18  ;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/31/17;1657 27 fevr;;1;25,3 x 18,3;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/32;1624 ao–t 9;;2;30,5 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/33;1624 ao–t 14;;2;30,4 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/34;1624 ao–t 15;;2;30,5 x 20,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/35;1624 7 7bre;;2;26,6 x 19,6;aspect cotonneux, lacunes, aur‚oles, moisissures grises;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/36;1624 13 7bre;;2;25,8 x 20;d‚chirures, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/37;1624 14 7bre;;2;26,6 x 20;aur‚oles, taches violettes, lacunes, d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/38/1;1624 14 7bre;;4;25,4 x 18;cordelette rose et beige (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/38/2;1625 23 xbre;;2;22,6 x 17,3;cordelette rose et beige (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/39;1624.15 7bre;;2;25,4 x 17,9;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/40;17 Sepbre 1624;;4;25,5 x 18,2;aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/41;1624 Sept. 18;;6;25 x 17,8 ;aur‚oles, plis;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/42;1624 18 7bre;;2;26,7 x 19,5;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/43;1624 23 7bre;;1;13,7 x 17,8;plis, aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/44;1624 Sept. 24;;2;34,7 x 23,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/45;1624 1er 8bre;;4;25,5 x 19,3 ;aur‚oles, traces d'infestation (galeries);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/46;1624 9 8bre;;2;26,6 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/47;1624 9 8bre;;2;26,5 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/48;9 8bre 1624;;1;18,6 x 18,9;aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/49;1624 17 8bre;;16;24,7 x 19 ;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/1;1624 19 8bre;;2;25,5 x 19,7;cordelette (avant), d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/2;25 octobre 1640;;2;26 x 19  ;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/3;26 may 1642;;2;23,8 x 18;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/4;premier de ma(?) 1642;;1;23 x 17,2;cordelette (avant), parchemin, cachet de cire rouge dans du papier;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/5;premier de may 1642;;2;24,6 x 18;cordelette (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/27/50/6;? 1642;;4;25 x 18,5;cordelette (avant);;;;;;;;;;;;;;;;;;
