fonds, boite, annee, cotation, date, foliation, dimensions(mm), remarques, date_ISO, material, tipo_documento, genere, page_inventaire, description_inventaire, noms_inventaire, noms, lieux, dechirures(0-3), froissures(0-3), lacunes(0-3), plis(0-3), perte_de_matiere(0-3), perte_de_souplesse(0-1), poussiere(0-3), eclaircissement(0-3), taches(0-3), degradation_due_a_encre(0-3), humidite(0-3), moissisure(0-3), traces_insecte(0-3), risque(1-5), cartella_foto
dc.relation.ispartof, dc.relation.ispartof, dc.relation.ispartof, dc.identifier, dc.date.created, dc.format.extent, dc.format.extent, dc.description, dc.date, dc.format.medium, dc.type, dc.type, dc.relation.isReferencedBy, dc.description.abstract.legacy, dc.subject.legacy, dc.subject, dc.coverage, dc.description.condition.[tears], dc.description.condition.[wrinkles], dc.description.condition.[lacunae], dc.description.condition.[creases_(condition)], dc.description.condition.[crumbling], dc.description.condition.[stiffness], dc.description.condition.[dust], dc.description.condition.[fading], dc.description.condition.[stains_(damage)], dc.description.condition.[ferrogallic_process], dc.description.condition.[water_damage], dc.description.condition.[mold_(condition)], dc.description.condition.[insect_damage], dc.description.condition.risk_index, dc.identifier.uri
Ms4300, 40, 1657-1658, Ms4300/40/13/16, 23 janv 1658, 2, 274 x 180,  Cordelette rose, 1658-01-23, papier, manuscrit, lettre, null, null, null, """Pontac, Gabriel de | Ferron de Carbonnieux, Margueritte de | Mothe, d.e de la | Bousquillon""", null, 0, 2, 1, 2, 0, 0, 1, 1, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/14, 1657 mars 5, 2, 204 x 158, Cachets de cire rouge, 1657-03-05, papier, manuscrit, lettre, null, null, null, null, Bordeaux, 1, 2, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/15, 1657 mars 6, 2, 225 x 167, Cachets de cire rouge, 1657-03-06, papier, manuscrit, lettre, null, null, null, """Tresne, La | Constantin, m.me de""", Bordeaux | Paris, 2, 1, 2, 2, 0, 0, 1, 0, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/16, 1657 10 mars, 2, 250 x 185, null, 1657-03-10, papier, manuscrit, supplie, 336, Requête de subrogation par M. Le Comte [...] contre M. du Perier, du Periés | Le Comte, """Le Comte, Jacques | [Dunal] | Salis, de ( notaire)""", null, 1, 1, 0, 2, 0, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/17, 1657 12 mars, 2, 251 x 185, null, 1657-03-12, papier, manuscrit, supplie, 336, """Requête de [...] par Jacques Le Comte contre les du Perier, pour la maison de Larsan""", du Perier | Le Comte | Larsan, """Le Comte, Jacques | [Dunal] | Salis, de ( notaire)""", null, 0, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/18, 1657 mars 13, 2, 216 x 174, null, 1657-03-13, parchemin, manuscrit, atto notarile, 337, Permission à Honoré de [...] d'[...] contre les hqbitants de Caudrot, de [...] | Caudrot, null, null, 3, 3, 3, 2, 0, 1, 1, 3, 3, 0, 2, 2, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/19, 1657 13 mars, 2, 255 x 183, null, 1657-03-13, papier, manuscrit, atto notarile, 337, Arret du parl.t [...] au S.r d'Arche d'entrer dans l'Ile de Caudrot [...] habitants de la ville d'y [...] du dégat et permettant  au M. de Lur d'y etablir une garde forestier, d'Arche | Caudrot Ile [...] | de Lur, """Arche, Bernard d'""", Bordeaux, 2, 1, 3, 2, 2, 0, 1, 2, 2, 3, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/20/1, 1657 16 mars, 2, 227 x 177, Cordelette rose, 1657-03-16, papier, manuscrit, atto notarile, null, null, null, """Le Comte, Jacques""", null, 1, 1, 1, 2, 1, 0, 1, 1, 2, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/20/2, 1657 21 mars, 2, 307 x 198, Cordelette rose, 1657-03-21, papier, manuscrit, atto notarile, null, null, null, """Le Comte, Jacques | Minurelle, Philippe de | Salis, de (notaire)", null, 1, 1, 2, 3, 1, 0, 2, 2, 1, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/20/3, 1657 22 mars, 1, 77 x 200, Cordelette rose, 1657-03-22, parchemin, manuscrit, atto notarile, null, null, null, null, Bordeaux, 1, 3, 2, 2, 1, 0, 1, 1, 0, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/21, 1657 19 mars, 5, 245 x 183, null, 1657-03-19, papier, manuscrit, ricevuta, 337, Quittance d'une [...] par Daniel de Tustal a Daniel de Baudry, de Tustal | de Baudry, """Tustal, Daniel de | Baudry, Daniel de | [Pla...], d.elle Sibille de", Bordeaux, 0, 1, 0, 0, 1, 0, 1, 0, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/22, 1657 25 mars, 4, 311 x 197, timbre, 1657-03-25, papier, manuscrit, memoire de payements, 337, Acte concernant la baronne de Chaume [...] M. Le Comte, Chaume | Le Comte, """Chaume | Chaubard, m.me de""", null, 0, 2, 0, 2, 0, 0, 1, 0, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/23, 1657 31 mars, 1, 108 x 281, null, 1657-03-31, parchemin, manuscrit, null, null, null, null, """Pontac, Gabriel de | Ferron de Carbonnieux, d. de | Mothe, Anne de la""", null, 2, 2, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/24, 1657 mars 31, 2, 205 x 157, Cachets de cire rouge, 1657-03-31, papier, manuscrit, lettre, 337, Lettre [...] en faveur du curateur de la succession d'Anne de La Motte, de La Motte, null, null, 1, 2, 2, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/25, 1657 8 avril, 4, 249 x 185, null, 1657-04-08, papier, manuscrit, contrat, 337, Obligation d'investiment de 3200 lt par M.r d'Alesme en faveur de S.r de Mons, d'Alesme | de Mons, """Alesme, Jacques de""", Bordeaux, 0, 1, 1, 2, 1, 0, 1, 1, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/26/1, 1657 12 avril, 4, 249 x 179, cordelette rouge, 1657-04-12, papier, manuscrit, contrat, 337, Obligation d'une somme de 1000 lt par [...] de [...] en faveur de [...] de Geniste, de Geniste | de La Larme, """Geneste, m.me de""", null, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/26/2, 1658 8 mars, 4, 231 x 177, cordelette rouge, 1658-03-08, papier, manuscrit, contrat, null, null, null, """Geneste, m.me de""", null, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/26/3, 1658 8 mars, 4, 252 x 182, cordelette rouge, 1658-03-08, papier, manuscrit, contrat, null, null, null, """Geneste, m.me de""", null, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/27, 1657 avril 13, 2, 239 x 183, null, 1657-04-13, papier, manuscrit, lettre, null, null, null, null, Cap-breton, 1, 0, 0, 2, 0, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/28, 1657 avril 26, 2, 296 x 197, null, 1657-04-26, papier, manuscrit, lettre, null, null, null, """Daffis, m.me""", Bayonne, 1, 2, 3, 3, 0, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/29, 1657 avril 27 , 2, 226 x 171, null, 1657-04-27, papier, manuscrit, lettre, null, null, null, """Tresne, baron de La""", null, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/30, 1657 avril 30, 1, 249 x 180, null, 1657-04-30, papier, manuscrit, lettre, null, null, null, null, Bayonne, 0, 0, 0, 2, 1, 0, 0, 0, 2, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/31/1, 1657 5 mai, 1, 130 x 290, cordelette blanche, 1657-05-05, parchemin, manuscrit, atto notarile, 337, Lettres [...]  d'assignation pour Jacques Le Comte contre G.el de Pontac, de Pontac | Le Comte, """Pontac, François de | Pontac, Gabriel de | Le Comte, Jacques | Merignac, Guyonne de | Salis, de (notaire)""", Paris | Bordeaux, 1, 2, 1, 3, 0, 0, 1, 2, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/31/2, 1657 8 mai, 1, 232 x 205, cordelette blanche, 1657-05-08, papier, manuscrit, atto notarile, 337, Lettres [...]  d'assignation pour Jacques Le Comte contre G.el de Pontac, de Pontac | Le Comte, """Pontac, François de | Pontac, Gabriel de | Le Comte, Jacques | Merignac, Guyonne de""", Paris | Bordeaux, 1, 2, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/31/3, xx juin 1657, 2, 180 x 140, cordelette blanche, 1657-06-20, papier, manuscrit, exploit, 337, null, null, """Pontac, Gabriel de | Le Comte, Jacques | Gilles (notaire)""", null, 1, 2, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/32/1, 1657 11 mai, 1, 253 x 190, cordelette jaune, 1657-05-11, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Salis, de (notaire)""", null, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/32/2, 1657 14 mai, 1, 253 x 189, cordelette jaune, 1657-05-14, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Salis, de (notaire)""", null, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/32/3, 1657 14 mai, 1, 253 x 178, cordelette jaune, 1657-05-14, papier, manuscrit, supplie, 337, """Requête par Jacques Le Comte contre M. du Peries, [...] de Larsan""", Le Comte | du Peries | Larsan, """Doux, Le | Le Comte, Jacques | Greffier, le | Salis, de (notaire)""", null, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, , 
